Level 2,Level 3,Level 4,Level 5,GVA,GDP,Total Sales m,Available Sales m
Utilities,InnovationInvention,Discovery,Market analysis,0.04,0.05,0.04,0.01
Utilities,InnovationInvention,Discovery,Customer Insights,0.07,0.09,0.06,0.04
Utilities,InnovationInvention,Discovery,Competitor analysis,0.04,0.05,0.03,0.01
Utilities,InnovationInvention,Discovery,Audit ,0.06,0.08,0.05,0.02
Utilities,InnovationInvention,Define,Brand strategy,0.08,0.09,0.06,0.02
Utilities,InnovationInvention,Define,Customer strategy,0.05,0.06,0.04,0.02
Utilities,InnovationInvention,Define,Digital strategy,0.04,0.05,0.04,0.01
Utilities,InnovationInvention,Define,Engagement strategy,0.09,0.11,0.08,0.03
Utilities,InnovationInvention,Define,Design thinking,0.09,0.11,0.07,0.04
Utilities,InnovationInvention,Develop,Strategy development,1.43,1.81,1.20,0.58
Utilities,InnovationInvention,Develop,Design development,1.52,1.85,1.23,0.48
Utilities,InnovationInvention,Develop,Program design,1.42,1.76,1.13,0.25
Utilities,InnovationInvention,Deliver,Documentation,0.40,0.47,0.32,0.13
Utilities,InnovationInvention,Deliver,Print production,0.53,0.70,0.45,0.25
Utilities,InnovationInvention,Deliver,Digital touchpoints,0.53,0.66,0.43,0.24
Utilities,InnovationInvention,Deliver,Production management,0.52,0.64,0.44,0.24
Utilities,InnovationInvention,Deliver,Implementation,0.40,0.55,0.35,0.16
Utilities,Design Education,Discovery,Market research,0.08,0.10,0.07,0.03
Utilities,Design Education,Discovery,Market analysis,0.06,0.07,0.05,0.02
Utilities,Design Education,Discovery,Customer Insights,0.11,0.13,0.09,0.02
Utilities,Design Education,Discovery,Competitor analysis,0.06,0.09,0.06,0.02
Utilities,Design Education,Discovery,Audit ,0.07,0.09,0.06,0.01
Utilities,Design Education,Define,Brand strategy,0.12,0.17,0.11,0.03
Utilities,Design Education,Define,Customer strategy,0.10,0.11,0.08,0.04
Utilities,Design Education,Define,Digital strategy,0.17,0.20,0.14,0.06
Utilities,Design Education,Define,Engagement strategy,0.11,0.15,0.10,0.05
Utilities,Design Education,Define,Design thinking,0.09,0.12,0.08,0.04
Utilities,Design Education,Develop,Strategy development,2.48,2.96,2.03,1.00
Utilities,Design Education,Develop,Design development,1.47,1.83,1.23,0.43
Utilities,Design Education,Develop,Program design,2.49,3.02,2.13,0.88
Utilities,Design Education,Deliver,Documentation,0.89,1.13,0.77,0.22
Utilities,Design Education,Deliver,Print production,1.41,1.81,1.21,0.49
Utilities,Design Education,Deliver,Digital touchpoints,1.37,1.63,1.13,0.35
Utilities,Design Education,Deliver,Production management,1.16,1.35,0.93,0.54
Utilities,Design Education,Deliver,Implementation,1.38,1.62,1.13,0.23
Other Public Sector, Strategy,Discovery,Brand audit,0.13,0.16,0.11,0.06
Other Public Sector, Strategy,Discovery,Market research,0.09,0.11,0.07,0.03
Other Public Sector, Strategy,Discovery,MarketCompetitor Analysis,0.10,0.13,0.09,0.03
Other Public Sector, Strategy,Discovery,Problem definition,0.09,0.11,0.07,0.02
Other Public Sector, Strategy,Discovery,Customer insights,0.11,0.14,0.10,0.04
Other Public Sector, Strategy,Discovery,Customer journey mapping,0.11,0.15,0.10,0.02
Other Public Sector, Strategy,Discovery,Problem definition,0.12,0.15,0.10,0.02
Other Public Sector, Strategy,Discovery,Brand strategy review,0.14,0.18,0.12,0.07
Other Public Sector, Strategy,Discovery,Organisational structure review,0.17,0.21,0.14,0.03
Other Public Sector, Strategy,Discovery,Resource needs identified,0.14,0.17,0.12,0.04
Other Public Sector, Strategy,Discovery,Comms audit,0.18,0.21,0.15,0.07
Other Public Sector, Strategy,Discovery,Channel analysis,0.17,0.21,0.14,0.05
Other Public Sector, Strategy,Define,Brand strategy development,0.10,0.13,0.09,0.02
Other Public Sector, Strategy,Define,Competitive Positioning ,0.16,0.20,0.13,0.05
Other Public Sector, Strategy,Define,Brand Definition,0.15,0.19,0.13,0.07
Other Public Sector, Strategy,Define,Customer segmentation,0.16,0.20,0.14,0.07
Other Public Sector, Strategy,Define,Customer journey development,0.12,0.16,0.11,0.06
Other Public Sector, Strategy,Define,Customer experience strategy,0.15,0.19,0.12,0.03
Other Public Sector, Strategy,Define,Channel strategy,0.10,0.13,0.08,0.04
Other Public Sector, Strategy,Define,Digital strategy,0.19,0.23,0.16,0.04
Other Public Sector, Strategy,Define,Service definition,0.11,0.14,0.09,0.05
Other Public Sector, Strategy,Define,Product ideation,0.11,0.14,0.09,0.02
Other Public Sector, Strategy,Define,Customer segmentation,0.11,0.14,0.09,0.03
Other Public Sector, Strategy,Define,Persona development,0.11,0.14,0.09,0.04
Other Public Sector, Strategy,Define,Customer journey development,0.16,0.22,0.14,0.09
Other Public Sector, Strategy,Define,Customer experience strategy,0.09,0.11,0.08,0.04
Other Public Sector, Strategy,Define,Product ideation,0.15,0.19,0.13,0.06
Other Public Sector, Strategy,Define,Engagement strategy,0.14,0.18,0.12,0.04
Other Public Sector, Strategy,Define,Campaign idea,0.10,0.13,0.09,0.03
Other Public Sector, Strategy,Define,Program design,0.18,0.22,0.15,0.06
Other Public Sector, Strategy,Define,Content definition,0.19,0.23,0.16,0.04
Other Public Sector, Strategy,Define,Program planning ,0.11,0.13,0.09,0.05
Other Public Sector, Strategy,Develop,Value proposition,2.02,2.60,1.70,0.98
Other Public Sector, Strategy,Develop,Brand architecture,2.50,3.16,2.05,0.59
Other Public Sector, Strategy,Develop,Vision  Purpose,1.42,1.84,1.18,0.38
Other Public Sector, Strategy,Develop,Mission  Ambition,2.20,2.69,1.88,1.10
Other Public Sector, Strategy,Develop,Brand story,2.58,3.21,2.16,0.79
Other Public Sector, Strategy,Develop,Customer experience design,2.41,2.84,1.92,1.14
Other Public Sector, Strategy,Develop,Service design,3.15,3.80,2.54,1.33
Other Public Sector, Strategy,Develop,Product design,2.78,3.41,2.28,0.46
Other Public Sector, Strategy,Develop,Touchpoint design,2.86,3.74,2.46,1.06
Other Public Sector, Strategy,Develop,Campaign idea development,2.57,3.49,2.24,1.31
Other Public Sector, Strategy,Develop,Messaging development,1.80,2.23,1.45,0.75
Other Public Sector, Strategy,Develop,Content development,1.81,2.30,1.52,0.80
Other Public Sector, Strategy,Develop,Collateral design,1.56,1.92,1.30,0.26
Other Public Sector, Strategy,Develop,Channel build,1.84,2.16,1.52,0.59
Other Public Sector, Strategy,Develop,Reporting model,2.20,2.56,1.76,0.60
Other Public Sector, Strategy,Deliver,Brand strategy documentation,0.65,0.80,0.55,0.30
Other Public Sector, Strategy,Deliver,Business case development,0.63,0.81,0.53,0.19
Other Public Sector, Strategy,Deliver,Board papers,0.76,0.92,0.63,0.18
Other Public Sector, Strategy,Deliver,Implementation roadmap,0.87,1.09,0.74,0.33
Other Public Sector, Strategy,Deliver,CX strategy documentation,0.81,0.99,0.69,0.25
Other Public Sector, Strategy,Deliver,Business case development,1.23,1.42,1.00,0.41
Other Public Sector, Strategy,Deliver,Board papers,0.51,0.67,0.45,0.26
Other Public Sector, Strategy,Deliver,Implementation roadmap,0.80,0.95,0.64,0.15
Other Public Sector, Strategy,Deliver,Launch campaign,0.69,0.88,0.57,0.23
Other Public Sector, Strategy,Deliver,Program collateral,1.11,1.38,0.90,0.44
Other Public Sector, Strategy,Deliver,Digital comms channel,0.84,1.04,0.67,0.23
Other Public Sector, Strategy,Deliver,Program content,0.74,0.93,0.64,0.28
Other Public Sector, Strategy,Deliver,Analysis,1.22,1.48,0.99,0.23
Other Public Sector, Strategy,Deliver,Reporting,0.59,0.73,0.50,0.15
Other Public Sector,Graphic Design,Discovery,Market research,0.14,0.18,0.13,0.03
Other Public Sector,Graphic Design,Discovery,Market analysis,0.10,0.12,0.08,0.04
Other Public Sector,Graphic Design,Discovery,Customer Insights,0.08,0.10,0.06,0.01
Other Public Sector,Graphic Design,Discovery,Competitor analysis,0.11,0.14,0.09,0.02
Other Public Sector,Graphic Design,Discovery,Competitor analysis,0.12,0.16,0.10,0.05
Other Public Sector,Graphic Design,Discovery,Identity audit,0.15,0.19,0.12,0.06
Other Public Sector,Graphic Design,Discovery,Packaging audit,0.09,0.11,0.08,0.04
Other Public Sector,Graphic Design,Discovery,Retail audit,0.09,0.12,0.08,0.04
Other Public Sector,Graphic Design,Discovery,Signage audit,0.15,0.18,0.12,0.05
Other Public Sector,Graphic Design,Discovery,Production planning,0.09,0.11,0.08,0.04
Other Public Sector,Graphic Design,Discovery,Audit ,0.16,0.21,0.13,0.06
Other Public Sector,Graphic Design,Define,Brand strategy,0.18,0.22,0.15,0.07
Other Public Sector,Graphic Design,Define,Customer strategy,0.09,0.12,0.08,0.03
Other Public Sector,Graphic Design,Define,Digital strategy,0.14,0.17,0.12,0.03
Other Public Sector,Graphic Design,Define,Engagement strategy,0.10,0.14,0.09,0.02
Other Public Sector,Graphic Design,Define,Design strategy,0.11,0.13,0.09,0.05
Other Public Sector,Graphic Design,Define,Creative territory ,0.18,0.23,0.15,0.08
Other Public Sector,Graphic Design,Define,Resource needs identified,0.17,0.22,0.14,0.06
Other Public Sector,Graphic Design,Define,Design strategy,0.11,0.14,0.10,0.03
Other Public Sector,Graphic Design,Define,Product architecture,0.15,0.17,0.12,0.03
Other Public Sector,Graphic Design,Define,Portfolio management ,0.12,0.15,0.10,0.06
Other Public Sector,Graphic Design,Define,Channel strategy,0.19,0.23,0.15,0.03
Other Public Sector,Graphic Design,Define,New product development (NPD),0.17,0.22,0.14,0.08
Other Public Sector,Graphic Design,Define,Signage system  architecture,0.12,0.15,0.10,0.05
Other Public Sector,Graphic Design,Develop,Strategy development,1.73,2.23,1.49,0.73
Other Public Sector,Graphic Design,Develop,Design development,2.20,2.58,1.80,0.48
Other Public Sector,Graphic Design,Develop,Program design,2.53,3.04,2.07,0.67
Other Public Sector,Graphic Design,Develop,Identity design,2.87,3.46,2.41,0.59
Other Public Sector,Graphic Design,Develop,Communication design,1.62,2.06,1.41,0.35
Other Public Sector,Graphic Design,Develop,Marketing collateral,2.11,2.63,1.80,0.47
Other Public Sector,Graphic Design,Develop,Corporate collateral,2.27,2.82,1.87,0.94
Other Public Sector,Graphic Design,Develop,Publications,2.95,3.77,2.51,1.06
Other Public Sector,Graphic Design,Develop,Artwork files,3.32,4.23,2.86,1.31
Other Public Sector,Graphic Design,Develop,Licencing,2.18,2.78,1.79,0.47
Other Public Sector,Graphic Design,Develop,Illustration design,2.79,3.65,2.41,0.99
Other Public Sector,Graphic Design,Develop,Animation,1.90,2.38,1.60,0.36
Other Public Sector,Graphic Design,Develop,Shoot planning,3.57,4.17,2.90,0.92
Other Public Sector,Graphic Design,Develop,Logistics ,2.31,2.77,1.93,1.06
Other Public Sector,Graphic Design,Develop,Photographic shoot,2.56,3.33,2.16,0.81
Other Public Sector,Graphic Design,Develop,Packaging design,3.40,4.21,2.89,1.30
Other Public Sector,Graphic Design,Develop,Positional Graphics,2.46,2.94,2.01,1.09
Other Public Sector,Graphic Design,Develop,Environmental graphics,2.51,2.95,2.02,0.49
Other Public Sector,Graphic Design,Develop,Type design,3.62,4.40,2.98,0.64
Other Public Sector,Graphic Design,Deliver,Documentation,1.10,1.40,0.91,0.34
Other Public Sector,Graphic Design,Deliver,Print production,0.97,1.25,0.82,0.34
Other Public Sector,Graphic Design,Deliver,Digital touchpoints,0.79,0.99,0.66,0.14
Other Public Sector,Graphic Design,Deliver,Production management,1.05,1.30,0.89,0.18
Other Public Sector,Graphic Design,Deliver,Implementation,1.07,1.24,0.87,0.28
Other Public Sector,Graphic Design,Deliver,Brand guidelines,0.75,0.94,0.61,0.17
Other Public Sector,Graphic Design,Deliver,Electronic artwork,0.79,1.02,0.68,0.29
Other Public Sector,Graphic Design,Deliver,Electronic templates,0.84,1.13,0.72,0.32
Other Public Sector,Graphic Design,Deliver,Rendering,0.95,1.19,0.77,0.17
Other Public Sector,Graphic Design,Deliver,Post-production,0.86,1.09,0.73,0.41
Other Public Sector,Graphic Design,Deliver,File preparation,0.74,0.99,0.63,0.18
Other Public Sector,Graphic Design,Deliver,Licencing agreements,0.82,0.99,0.69,0.25
Other Public Sector,Graphic Design,Deliver,Production artwork,1.11,1.34,0.88,0.21
Other Public Sector,Graphic Design,Deliver,Production management,1.16,1.38,0.94,0.51
Other Public Sector,Graphic Design,Deliver,IP Management Advice,0.65,0.80,0.56,0.32
Other Public Sector,Graphic Design,Deliver,Advice on the Development of Routes to Market ,0.74,0.95,0.62,0.33
Other Public Sector,Interactive Design,Discovery,Market research,0.19,0.22,0.15,0.06
Other Public Sector,Interactive Design,Discovery,Market analysis,0.21,0.25,0.17,0.04
Other Public Sector,Interactive Design,Discovery,Customer Insights,0.16,0.20,0.13,0.04
Other Public Sector,Interactive Design,Discovery,Competitor analysis,0.12,0.15,0.09,0.03
Other Public Sector,Interactive Design,Discovery,Audit ,0.09,0.12,0.08,0.04
Other Public Sector,Interactive Design,Discovery,Digital analysis,0.16,0.20,0.13,0.07
Other Public Sector,Interactive Design,Discovery,Data analysis,0.12,0.16,0.11,0.06
Other Public Sector,Interactive Design,Discovery,Usability study,0.15,0.17,0.12,0.06
Other Public Sector,Interactive Design,Discovery,User insights,0.20,0.25,0.17,0.05
Other Public Sector,Interactive Design,Discovery,Technology audit,0.11,0.13,0.09,0.05
Other Public Sector,Interactive Design,Define,Brand strategy,0.30,0.38,0.26,0.08
Other Public Sector,Interactive Design,Define,Customer strategy,0.16,0.19,0.13,0.05
Other Public Sector,Interactive Design,Define,Digital strategy,0.28,0.33,0.22,0.12
Other Public Sector,Interactive Design,Define,Engagement strategy,0.14,0.17,0.11,0.05
Other Public Sector,Interactive Design,Define,Digital strategy,0.27,0.33,0.22,0.09
Other Public Sector,Interactive Design,Define,Social media strategy,0.30,0.37,0.25,0.10
Other Public Sector,Interactive Design,Define,Information Architecture,0.22,0.26,0.18,0.05
Other Public Sector,Interactive Design,Define,Customer journey mapping,0.32,0.38,0.26,0.13
Other Public Sector,Interactive Design,Define,Personal development,0.31,0.38,0.25,0.07
Other Public Sector,Interactive Design,Define,SEO  SEM,0.17,0.21,0.14,0.07
Other Public Sector,Interactive Design,Define,Content strategy,0.26,0.33,0.23,0.07
Other Public Sector,Interactive Design,Define,Technology strategy,0.23,0.27,0.18,0.05
Other Public Sector,Interactive Design,Define,Comms strategy,0.20,0.26,0.17,0.08
Other Public Sector,Interactive Design,Develop,Strategy development,6.67,8.38,5.63,1.76
Other Public Sector,Interactive Design,Develop,Design development,4.62,5.36,3.76,1.47
Other Public Sector,Interactive Design,Develop,Program design,3.93,4.91,3.14,0.86
Other Public Sector,Interactive Design,Develop,Front-end development,7.37,9.28,5.97,1.67
Other Public Sector,Interactive Design,Develop,Interactive design,4.10,4.92,3.34,1.65
Other Public Sector,Interactive Design,Develop,Wireframes,3.94,5.07,3.27,1.14
Other Public Sector,Interactive Design,Develop,User interface design,7.06,8.66,5.78,1.81
Other Public Sector,Interactive Design,Develop,User Experience design (UX),6.43,7.86,5.27,2.00
Other Public Sector,Interactive Design,Develop,User testing,4.62,5.74,3.92,2.29
Other Public Sector,Interactive Design,Develop,Content management system ,7.35,9.51,6.36,2.05
Other Public Sector,Interactive Design,Develop,Content development,4.64,6.00,3.85,2.10
Other Public Sector,Interactive Design,Develop,Browser testing,3.70,4.63,2.98,0.68
Other Public Sector,Interactive Design,Develop,Product prototyping,4.43,5.04,3.54,1.22
Other Public Sector,Interactive Design,Deliver,Documentation,1.22,1.57,1.01,0.26
Other Public Sector,Interactive Design,Deliver,Print production,1.72,2.15,1.49,0.48
Other Public Sector,Interactive Design,Deliver,Digital touchpoints,1.91,2.37,1.57,0.89
Other Public Sector,Interactive Design,Deliver,Production management,2.08,2.56,1.68,0.41
Other Public Sector,Interactive Design,Deliver,Implementation,1.80,2.21,1.55,0.39
Other Public Sector,Interactive Design,Deliver,Back-end development,1.35,1.66,1.10,0.41
Other Public Sector,Interactive Design,Deliver,Usability testing,2.72,3.14,2.17,1.25
Other Public Sector,Interactive Design,Deliver,CMS Training,1.81,2.16,1.48,0.63
Other Public Sector,Interactive Design,Deliver,System build,1.43,1.76,1.15,0.69
Other Public Sector,Interactive Design,Deliver,Programming,1.18,1.47,1.02,0.44
Other Public Sector,Interactive Design,Deliver,User analytics,1.44,1.89,1.24,0.63
Other Public Sector,Interactive Design,Deliver,Development,2.17,2.58,1.76,0.65
Other Public Sector,Interactive Design,Deliver,Software testing,1.19,1.51,0.97,0.28
Other Public Sector,Interactive Design,Deliver,Device  testing,2.10,2.60,1.79,0.64
Other Public Sector,Interactive Design,Deliver,UAT - User acceptance,2.00,2.67,1.73,0.54
Other Public Sector,Interactive Design,Deliver,BAT - Business acceptance,2.06,2.46,1.69,0.66
Other Public Sector,Interactive Design,Deliver,System testing,2.40,2.97,2.00,0.44
Other Public Sector,Interactive Design,Deliver,Security testing,1.42,1.83,1.18,0.70
Other Public Sector,Interactive Design,Deliver,Server build ,1.95,2.52,1.67,0.99
Other Public Sector,Interactive Design,Deliver,Deployment ,1.20,1.60,1.05,0.25
Other Public Sector,Interactive Design,Deliver,API Integration Support Services,1.15,1.38,0.94,0.21
Other Public Sector,Interactive Design,Deliver,Performance Optimisation Support Services,2.21,2.78,1.84,0.59
Other Public Sector,Spatial Design,Discovery,Market research,0.08,0.11,0.07,0.04
Other Public Sector,Spatial Design,Discovery,Market analysis,0.09,0.10,0.07,0.04
Other Public Sector,Spatial Design,Discovery,Customer Insights,0.07,0.09,0.06,0.03
Other Public Sector,Spatial Design,Discovery,Competitor analysis,0.09,0.12,0.08,0.03
Other Public Sector,Spatial Design,Discovery,Audit ,0.08,0.09,0.06,0.03
Other Public Sector,Spatial Design,Discovery,Category analysis,0.06,0.07,0.05,0.03
Other Public Sector,Spatial Design,Discovery,User needs analysis,0.06,0.07,0.05,0.02
Other Public Sector,Spatial Design,Discovery,User insights,0.09,0.11,0.08,0.04
Other Public Sector,Spatial Design,Discovery,Customer journey mapping,0.04,0.06,0.04,0.02
Other Public Sector,Spatial Design,Discovery,In category research,0.06,0.08,0.05,0.02
Other Public Sector,Spatial Design,Discovery,Out-of-category research,0.05,0.06,0.04,0.02
Other Public Sector,Spatial Design,Discovery,Inspiration,0.09,0.11,0.07,0.03
Other Public Sector,Spatial Design,Discovery,Materiality study,0.08,0.10,0.07,0.03
Other Public Sector,Spatial Design,Discovery,Site surveyanalysis,0.09,0.11,0.07,0.02
Other Public Sector,Spatial Design,Discovery,Environmental study,0.04,0.06,0.04,0.01
Other Public Sector,Spatial Design,Discovery,Space planning ,0.07,0.08,0.06,0.03
Other Public Sector,Spatial Design,Discovery,Modelling,0.07,0.08,0.06,0.02
Other Public Sector,Spatial Design,Discovery,Visual audit,0.07,0.09,0.06,0.02
Other Public Sector,Spatial Design,Discovery,Design brief,0.06,0.08,0.05,0.01
Other Public Sector,Spatial Design,Discovery,Project Programme,0.07,0.08,0.05,0.02
Other Public Sector,Spatial Design,Define,Brand strategy,0.06,0.07,0.05,0.02
Other Public Sector,Spatial Design,Define,Customer strategy,0.05,0.06,0.04,0.01
Other Public Sector,Spatial Design,Define,Digital strategy,0.07,0.08,0.06,0.03
Other Public Sector,Spatial Design,Define,Engagement strategy,0.08,0.10,0.07,0.03
Other Public Sector,Spatial Design,Define,Design strategy,0.06,0.08,0.05,0.02
Other Public Sector,Spatial Design,Define,Journey mapping,0.05,0.06,0.04,0.02
Other Public Sector,Spatial Design,Define,Architectural design,0.04,0.05,0.03,0.02
Other Public Sector,Spatial Design,Define,Retail strategy,0.06,0.08,0.05,0.02
Other Public Sector,Spatial Design,Define,Retail design ,0.05,0.06,0.04,0.01
Other Public Sector,Spatial Design,Define,Branded environments,0.09,0.10,0.07,0.02
Other Public Sector,Spatial Design,Define,Ideation,0.07,0.09,0.06,0.03
Other Public Sector,Spatial Design,Define,Place branding,0.05,0.06,0.04,0.02
Other Public Sector,Spatial Design,Define,Corporate fit-out,0.05,0.07,0.04,0.01
Other Public Sector,Spatial Design,Define,Concept store design,0.08,0.11,0.07,0.04
Other Public Sector,Spatial Design,Define,Installations,0.05,0.06,0.04,0.02
Other Public Sector,Spatial Design,Define,Museum design,0.08,0.10,0.06,0.02
Other Public Sector,Spatial Design,Define,Experience design,0.05,0.07,0.04,0.02
Other Public Sector,Spatial Design,Define,Pop up retail,0.06,0.08,0.05,0.02
Other Public Sector,Spatial Design,Define,Wayfinding ,0.07,0.09,0.06,0.01
Other Public Sector,Spatial Design,Define,Signage programs,0.08,0.10,0.07,0.02
Other Public Sector,Spatial Design,Define,Network transformation,0.10,0.12,0.08,0.02
Other Public Sector,Spatial Design,Develop,Strategy development,2.44,2.93,2.02,1.19
Other Public Sector,Spatial Design,Develop,Design development,2.83,3.47,2.31,1.32
Other Public Sector,Spatial Design,Develop,Program design,1.45,1.81,1.21,0.38
Other Public Sector,Spatial Design,Develop,Concept design,2.42,3.18,2.05,0.87
Other Public Sector,Spatial Design,Develop,Design drawings,2.36,2.89,2.01,1.21
Other Public Sector,Spatial Design,Develop,Detailed drawings,1.69,2.15,1.43,0.85
Other Public Sector,Spatial Design,Develop,CAD drawings,2.61,3.33,2.16,1.15
Other Public Sector,Spatial Design,Develop,Specifications,1.72,2.11,1.39,0.71
Other Public Sector,Spatial Design,Develop,Tender preparation,2.24,2.89,1.90,0.47
Other Public Sector,Spatial Design,Develop,Tender process management,2.91,3.60,2.33,1.20
Other Public Sector,Spatial Design,Develop,Interior design,2.41,2.98,1.96,1.14
Other Public Sector,Spatial Design,Develop,Installation design,2.60,3.19,2.16,0.49
Other Public Sector,Spatial Design,Develop,Environmental graphics,2.43,3.22,2.08,0.83
Other Public Sector,Spatial Design,Develop,Concept presentations,2.02,2.62,1.73,0.88
Other Public Sector,Spatial Design,Develop,Site selection and test fits,2.36,2.96,1.92,1.13
Other Public Sector,Spatial Design,Develop,Block planning,2.84,3.77,2.43,0.71
Other Public Sector,Spatial Design,Develop,Furniture & finishes  study,2.51,3.32,2.12,1.12
Other Public Sector,Spatial Design,Develop,Low & hi -fi Prototyping,1.97,2.49,1.67,0.67
Other Public Sector,Spatial Design,Develop,Budget costing,2.65,3.46,2.32,0.93
Other Public Sector,Spatial Design,Develop,FF&E schedules,1.53,1.98,1.27,0.60
Other Public Sector,Spatial Design,Develop,Consultant liaison,2.43,2.97,2.03,0.53
Other Public Sector,Spatial Design,Develop,Local authority liaison,2.48,3.06,2.00,0.70
Other Public Sector,Spatial Design,Deliver,Documentation,0.68,0.86,0.58,0.20
Other Public Sector,Spatial Design,Deliver,Print production,0.43,0.51,0.36,0.17
Other Public Sector,Spatial Design,Deliver,Digital touchpoints,0.42,0.55,0.37,0.21
Other Public Sector,Spatial Design,Deliver,Production management,0.62,0.82,0.53,0.30
Other Public Sector,Spatial Design,Deliver,Implementation,0.42,0.56,0.36,0.10
Other Public Sector,Spatial Design,Deliver,Fit-out management,0.72,0.98,0.63,0.31
Other Public Sector,Spatial Design,Deliver,Site supervision,0.65,0.83,0.57,0.31
Other Public Sector,Spatial Design,Deliver,Supplier liaison,0.74,0.93,0.60,0.14
Other Public Sector,Spatial Design,Deliver,Tender,0.78,0.92,0.64,0.35
Other Public Sector,Spatial Design,Deliver,Resource consent,0.39,0.45,0.32,0.13
Other Public Sector,Spatial Design,Deliver,Building consent,0.87,1.00,0.69,0.19
Other Public Sector,Spatial Design,Deliver,Contract observation,0.50,0.66,0.44,0.15
Other Public Sector,Spatial Design,Deliver,FF&E procurement,0.73,0.92,0.63,0.35
Other Public Sector,Spatial Design,Deliver,Local authority liaison,0.84,1.05,0.68,0.32
Other Public Sector,Spatial Design,Deliver,Consultant liaison,0.54,0.71,0.45,0.21
Other Public Sector,Spatial Design,Deliver,Project remedials,0.66,0.83,0.54,0.15
Other Public Sector,Spatial Design,Deliver,Site handover,0.68,0.82,0.55,0.20
Other Public Sector,Spatial Design,Deliver,Final concept presentation,0.55,0.67,0.46,0.21
Other Public Sector,Spatial Design,Deliver,3D visuals and renders,0.43,0.57,0.37,0.12
Other Public Sector,Product Design,Discovery,Market research,0.29,0.34,0.24,0.09
Other Public Sector,Product Design,Discovery,Market analysis,0.32,0.38,0.26,0.07
Other Public Sector,Product Design,Discovery,Customer Insights,0.26,0.30,0.21,0.07
Other Public Sector,Product Design,Discovery,Competitor analysis,0.26,0.33,0.21,0.12
Other Public Sector,Product Design,Discovery,Audit ,0.28,0.34,0.24,0.13
Other Public Sector,Product Design,Discovery,Market Research,0.15,0.19,0.13,0.04
Other Public Sector,Product Design,Discovery,Ergonomic study,0.20,0.23,0.16,0.04
Other Public Sector,Product Design,Discovery,Material audit,0.26,0.33,0.21,0.05
Other Public Sector,Product Design,Discovery,User needs analysis,0.24,0.31,0.21,0.08
Other Public Sector,Product Design,Discovery,Market Research,0.16,0.19,0.13,0.03
Other Public Sector,Product Design,Discovery,Ergonomic study,0.18,0.22,0.14,0.08
Other Public Sector,Product Design,Discovery,Material audit,0.21,0.26,0.17,0.08
Other Public Sector,Product Design,Discovery,User needs analysis,0.31,0.40,0.26,0.08
Other Public Sector,Product Design,Define,Brand strategy,0.38,0.46,0.32,0.11
Other Public Sector,Product Design,Define,Customer strategy,0.33,0.43,0.29,0.08
Other Public Sector,Product Design,Define,Digital strategy,0.24,0.30,0.20,0.07
Other Public Sector,Product Design,Define,Engagement strategy,0.34,0.44,0.29,0.12
Other Public Sector,Product Design,Define,Design thinking,0.27,0.33,0.23,0.13
Other Public Sector,Product Design,Define,Product strategy,0.35,0.45,0.30,0.17
Other Public Sector,Product Design,Define,Market modelling,0.22,0.28,0.19,0.10
Other Public Sector,Product Design,Define,Production design,0.20,0.26,0.18,0.08
Other Public Sector,Product Design,Define,Pre-production costing,0.34,0.44,0.29,0.16
Other Public Sector,Product Design,Define,Distribution modelling,0.18,0.22,0.15,0.07
Other Public Sector,Product Design,Develop,Strategy development,3.89,4.81,3.27,1.87
Other Public Sector,Product Design,Develop,Design development,4.85,5.84,4.07,1.98
Other Public Sector,Product Design,Develop,Program design,4.86,5.80,3.92,2.20
Other Public Sector,Product Design,Develop,Ideation,4.95,6.06,4.09,2.22
Other Public Sector,Product Design,Develop,Visual concept development,5.10,6.62,4.26,2.40
Other Public Sector,Product Design,Develop,Aesthetic development,5.26,6.61,4.36,1.83
Other Public Sector,Product Design,Develop,Component planning,3.45,4.41,2.83,1.49
Other Public Sector,Product Design,Develop,Technology development,3.75,4.37,3.04,1.41
Other Public Sector,Product Design,Develop,CAD concepts,2.54,3.13,2.08,0.99
Other Public Sector,Product Design,Develop,Modelling,2.95,3.45,2.43,0.91
Other Public Sector,Product Design,Develop,User testing,4.94,6.01,4.20,1.58
Other Public Sector,Product Design,Develop,Rendering,4.43,5.76,3.80,0.89
Other Public Sector,Product Design,Develop,Rapid prototype,4.07,4.93,3.40,1.98
Other Public Sector,Product Design,Develop,Prototype development,4.75,5.70,3.87,1.95
Other Public Sector,Product Design,Develop,3D printing,2.91,3.42,2.32,1.30
Other Public Sector,Product Design,Develop,Ergonomic testing,2.94,3.73,2.39,1.32
Other Public Sector,Product Design,Develop,Safety analysis,4.67,5.92,4.02,1.48
Other Public Sector,Product Design,Develop,Material testing,3.78,4.74,3.18,0.78
Other Public Sector,Product Design,Develop,Production cost scoping,2.93,3.53,2.41,0.99
Other Public Sector,Product Design,Develop,Packaging design ,3.06,4.13,2.65,1.34
Other Public Sector,Product Design,Develop,QA,4.80,6.25,4.06,2.07
Other Public Sector,Product Design,Deliver,Documentation,1.63,1.91,1.32,0.71
Other Public Sector,Product Design,Deliver,Print production,2.37,3.08,2.02,0.89
Other Public Sector,Product Design,Deliver,Digital touchpoints,2.34,2.85,1.98,0.58
Other Public Sector,Product Design,Deliver,Production management,1.49,1.93,1.24,0.26
Other Public Sector,Product Design,Deliver,Implementation,2.30,2.71,1.88,0.61
