Level 2,GDP
Engineering Industry (excluding Civils),0.04
Engineering Industry (excluding Civils),2.33
Engineering Industry (excluding Civils),2.78
Engineering Industry (excluding Civils),1.33
Engineering Industry (excluding Civils),2.09
Engineering Industry (excluding Civils),2.93
Engineering Industry (excluding Civils),2.28
Engineering Industry (excluding Civils),2.89
Engineering Industry (excluding Civils),2.45
Engineering Industry (excluding Civils),1.93
Engineering Industry (excluding Civils),2.48
Engineering Industry (excluding Civils),2.09
Engineering Industry (excluding Civils),1.45
Engineering Industry (excluding Civils),2.37
Engineering Industry (excluding Civils),2.52
Engineering Industry (excluding Civils),2.36
Engineering Industry (excluding Civils),2.60
Engineering Industry (excluding Civils),0.53
Engineering Industry (excluding Civils),0.55
Engineering Industry (excluding Civils),0.40
Engineering Industry (excluding Civils),0.28
Engineering Industry (excluding Civils),0.57
Engineering Industry (excluding Civils),0.44
Engineering Industry (excluding Civils),0.48
Engineering Industry (excluding Civils),0.33
Engineering Industry (excluding Civils),0.54
Engineering Industry (excluding Civils),0.27
Engineering Industry (excluding Civils),0.31
Engineering Industry (excluding Civils),0.55
Engineering Industry (excluding Civils),0.12
Engineering Industry (excluding Civils),0.09
Engineering Industry (excluding Civils),0.06
Engineering Industry (excluding Civils),0.06
Engineering Industry (excluding Civils),0.06
Engineering Industry (excluding Civils),0.17
Engineering Industry (excluding Civils),0.09
Engineering Industry (excluding Civils),0.16
Engineering Industry (excluding Civils),0.15
Engineering Industry (excluding Civils),0.13
Engineering Industry (excluding Civils),1.14
Engineering Industry (excluding Civils),1.51
Engineering Industry (excluding Civils),1.97
Engineering Industry (excluding Civils),1.02
Engineering Industry (excluding Civils),0.57
Engineering Industry (excluding Civils),0.76
Engineering Industry (excluding Civils),0.75
Engineering Industry (excluding Civils),1.23
Engineering Industry (excluding Civils),1.29
Engineering Industry (excluding Civils),0.00
Engineering Industry (excluding Civils),0.00
Engineering Industry (excluding Civils),0.00
Engineering Industry (excluding Civils),0.00
Engineering Industry (excluding Civils),0.00
Engineering Industry (excluding Civils),0.04
Engineering Industry (excluding Civils),0.06
Engineering Industry (excluding Civils),0.07
Engineering Industry (excluding Civils),0.05
Engineering Industry (excluding Civils),0.04
Engineering Industry (excluding Civils),0.11
Engineering Industry (excluding Civils),0.15
Engineering Industry (excluding Civils),0.09
Engineering Industry (excluding Civils),0.13
Engineering Industry (excluding Civils),0.09
Engineering Industry (excluding Civils),2.11
Engineering Industry (excluding Civils),2.50
Engineering Industry (excluding Civils),2.72
Engineering Industry (excluding Civils),0.62
Engineering Industry (excluding Civils),0.64
Engineering Industry (excluding Civils),0.76
Engineering Industry (excluding Civils),0.64
Engineering Industry (excluding Civils),0.64
Engineering Industry (excluding Civils),0.09
Engineering Industry (excluding Civils),0.12
Engineering Industry (excluding Civils),0.09
Engineering Industry (excluding Civils),0.07
Engineering Industry (excluding Civils),0.07
Engineering Industry (excluding Civils),0.08
Engineering Industry (excluding Civils),0.14
Engineering Industry (excluding Civils),0.10
Engineering Industry (excluding Civils),0.13
Engineering Industry (excluding Civils),0.14
Engineering Industry (excluding Civils),2.49
Engineering Industry (excluding Civils),3.04
Engineering Industry (excluding Civils),3.47
Engineering Industry (excluding Civils),1.67
Engineering Industry (excluding Civils),0.97
Engineering Industry (excluding Civils),1.67
Engineering Industry (excluding Civils),1.74
Engineering Industry (excluding Civils),1.42
Manufacturing Industry,1.15
Manufacturing Industry,1.39
Manufacturing Industry,0.82
Manufacturing Industry,1.18
Manufacturing Industry,1.07
Manufacturing Industry,0.66
Manufacturing Industry,0.89
Manufacturing Industry,0.85
Manufacturing Industry,1.42
Manufacturing Industry,1.44
Manufacturing Industry,0.93
Manufacturing Industry,0.85
Manufacturing Industry,0.68
Manufacturing Industry,1.17
Manufacturing Industry,0.80
Manufacturing Industry,0.55
Manufacturing Industry,0.74
Manufacturing Industry,0.98
Manufacturing Industry,0.87
Manufacturing Industry,0.82
Manufacturing Industry,0.50
Manufacturing Industry,0.85
Manufacturing Industry,0.63
Manufacturing Industry,0.95
Manufacturing Industry,0.89
Manufacturing Industry,0.85
Manufacturing Industry,0.96
Manufacturing Industry,0.78
Manufacturing Industry,0.74
Manufacturing Industry,0.69
Manufacturing Industry,0.91
Manufacturing Industry,1.13
Manufacturing Industry,30.48
Manufacturing Industry,28.62
Manufacturing Industry,30.75
Manufacturing Industry,31.53
Manufacturing Industry,34.42
Manufacturing Industry,22.72
Manufacturing Industry,31.00
Manufacturing Industry,16.85
Manufacturing Industry,29.48
Manufacturing Industry,33.48
Manufacturing Industry,31.98
Manufacturing Industry,18.29
Manufacturing Industry,23.51
Manufacturing Industry,27.73
Manufacturing Industry,20.16
Manufacturing Industry,8.68
Manufacturing Industry,3.78
Manufacturing Industry,4.76
Manufacturing Industry,7.58
Manufacturing Industry,5.78
Manufacturing Industry,7.16
Manufacturing Industry,4.76
Manufacturing Industry,7.22
Manufacturing Industry,5.42
Manufacturing Industry,7.36
Manufacturing Industry,4.25
Manufacturing Industry,7.45
Manufacturing Industry,7.17
Manufacturing Industry,5.65
Manufacturing Industry,0.72
Manufacturing Industry,0.69
Manufacturing Industry,0.61
Manufacturing Industry,0.65
Manufacturing Industry,0.58
Manufacturing Industry,0.48
Manufacturing Industry,0.97
Manufacturing Industry,0.86
Manufacturing Industry,0.78
Manufacturing Industry,0.54
Manufacturing Industry,0.51
Manufacturing Industry,1.44
Manufacturing Industry,1.28
Manufacturing Industry,0.70
Manufacturing Industry,1.33
Manufacturing Industry,1.08
Manufacturing Industry,1.23
Manufacturing Industry,1.29
Manufacturing Industry,1.50
Manufacturing Industry,0.71
Manufacturing Industry,0.74
Manufacturing Industry,1.02
Manufacturing Industry,0.88
Manufacturing Industry,1.13
Manufacturing Industry,28.90
Manufacturing Industry,27.84
Manufacturing Industry,15.43
Manufacturing Industry,23.84
Manufacturing Industry,22.24
Manufacturing Industry,27.74
Manufacturing Industry,23.33
Manufacturing Industry,23.29
Manufacturing Industry,18.99
Manufacturing Industry,29.82
Manufacturing Industry,20.93
Manufacturing Industry,30.94
Manufacturing Industry,20.67
Manufacturing Industry,25.01
Manufacturing Industry,13.21
Manufacturing Industry,18.41
Manufacturing Industry,16.95
Manufacturing Industry,23.09
Manufacturing Industry,17.42
Manufacturing Industry,8.38
Manufacturing Industry,10.60
Manufacturing Industry,12.82
Manufacturing Industry,5.68
Manufacturing Industry,7.18
Manufacturing Industry,5.59
Manufacturing Industry,8.83
Manufacturing Industry,12.26
Manufacturing Industry,11.49
Manufacturing Industry,12.18
Manufacturing Industry,9.22
Manufacturing Industry,11.11
Manufacturing Industry,9.53
Manufacturing Industry,10.93
Manufacturing Industry,10.99
Manufacturing Industry,11.71
Manufacturing Industry,1.88
Manufacturing Industry,1.84
Manufacturing Industry,1.26
Manufacturing Industry,0.99
Manufacturing Industry,1.73
Manufacturing Industry,1.38
Manufacturing Industry,1.71
Manufacturing Industry,1.15
Manufacturing Industry,1.30
Manufacturing Industry,1.25
Manufacturing Industry,1.28
Manufacturing Industry,2.53
Manufacturing Industry,3.07
Manufacturing Industry,2.96
Manufacturing Industry,2.28
Manufacturing Industry,1.63
Manufacturing Industry,1.40
Manufacturing Industry,1.80
Manufacturing Industry,1.91
Manufacturing Industry,1.97
Manufacturing Industry,1.45
Manufacturing Industry,1.52
Manufacturing Industry,2.29
Manufacturing Industry,58.12
Manufacturing Industry,50.58
Manufacturing Industry,59.63
Manufacturing Industry,62.11
Manufacturing Industry,49.29
Manufacturing Industry,47.53
Manufacturing Industry,50.12
Manufacturing Industry,28.64
Manufacturing Industry,44.53
Manufacturing Industry,45.28
Manufacturing Industry,61.38
Manufacturing Industry,54.33
Manufacturing Industry,50.75
Manufacturing Industry,11.55
Manufacturing Industry,17.27
Manufacturing Industry,14.29
Manufacturing Industry,16.25
Manufacturing Industry,10.45
Manufacturing Industry,13.95
Manufacturing Industry,8.25
Manufacturing Industry,17.20
Manufacturing Industry,15.49
Manufacturing Industry,15.86
Manufacturing Industry,14.39
Manufacturing Industry,14.24
Manufacturing Industry,10.63
Manufacturing Industry,15.46
Manufacturing Industry,8.28
Manufacturing Industry,13.16
Manufacturing Industry,12.06
Manufacturing Industry,9.82
Manufacturing Industry,7.62
Manufacturing Industry,12.89
Manufacturing Industry,14.90
Manufacturing Industry,9.80
Manufacturing Industry,0.92
Manufacturing Industry,0.91
Manufacturing Industry,0.67
Manufacturing Industry,0.82
Manufacturing Industry,0.94
Manufacturing Industry,0.85
Manufacturing Industry,0.66
Manufacturing Industry,0.88
Manufacturing Industry,0.80
Manufacturing Industry,0.71
Manufacturing Industry,0.50
Manufacturing Industry,0.71
Manufacturing Industry,0.62
Manufacturing Industry,0.88
Manufacturing Industry,0.57
Manufacturing Industry,0.95
Manufacturing Industry,0.59
Manufacturing Industry,0.61
Manufacturing Industry,0.82
Manufacturing Industry,0.87
Manufacturing Industry,0.59
Manufacturing Industry,0.65
Manufacturing Industry,1.09
Manufacturing Industry,0.72
Manufacturing Industry,0.64
Manufacturing Industry,0.71
Manufacturing Industry,1.24
Manufacturing Industry,1.35
Manufacturing Industry,1.18
Manufacturing Industry,0.85
Manufacturing Industry,0.67
Manufacturing Industry,1.09
Manufacturing Industry,0.57
Manufacturing Industry,1.05
Manufacturing Industry,1.03
Manufacturing Industry,1.02
Manufacturing Industry,1.23
Manufacturing Industry,1.26
Manufacturing Industry,0.83
Manufacturing Industry,0.95
Manufacturing Industry,1.36
Manufacturing Industry,9.10
Manufacturing Industry,8.62
Manufacturing Industry,8.27
Manufacturing Industry,8.46
Manufacturing Industry,6.38
Manufacturing Industry,6.72
Manufacturing Industry,10.30
Manufacturing Industry,7.77
Manufacturing Industry,11.66
Manufacturing Industry,10.40
Manufacturing Industry,9.47
Manufacturing Industry,11.48
Manufacturing Industry,11.49
Manufacturing Industry,10.77
Manufacturing Industry,8.03
Manufacturing Industry,10.05
Manufacturing Industry,6.18
Manufacturing Industry,9.37
Manufacturing Industry,8.24
Manufacturing Industry,8.12
Manufacturing Industry,7.54
Manufacturing Industry,9.66
Manufacturing Industry,4.17
Manufacturing Industry,6.15
Manufacturing Industry,5.16
Manufacturing Industry,7.33
Manufacturing Industry,5.92
Manufacturing Industry,6.32
Manufacturing Industry,6.20
Manufacturing Industry,7.18
Manufacturing Industry,3.73
Manufacturing Industry,3.78
Manufacturing Industry,6.19
Manufacturing Industry,5.28
Manufacturing Industry,5.81
Manufacturing Industry,4.20
Manufacturing Industry,5.73
Manufacturing Industry,3.33
Manufacturing Industry,3.32
Manufacturing Industry,4.14
Manufacturing Industry,5.73
Manufacturing Industry,1.27
Manufacturing Industry,2.76
Manufacturing Industry,2.37
Manufacturing Industry,1.92
Manufacturing Industry,2.28
Manufacturing Industry,1.71
Manufacturing Industry,1.42
Manufacturing Industry,1.87
Manufacturing Industry,1.51
Manufacturing Industry,1.38
Manufacturing Industry,2.18
Manufacturing Industry,1.25
Manufacturing Industry,2.43
Manufacturing Industry,2.29
Manufacturing Industry,3.47
Manufacturing Industry,3.24
Manufacturing Industry,2.96
Manufacturing Industry,1.81
Manufacturing Industry,3.11
Manufacturing Industry,3.30
Manufacturing Industry,2.86
Manufacturing Industry,2.98
Manufacturing Industry,3.73
Manufacturing Industry,20.30
Manufacturing Industry,24.59
Manufacturing Industry,25.43
Manufacturing Industry,13.64
Manufacturing Industry,25.00
Manufacturing Industry,12.35
Manufacturing Industry,19.17
Manufacturing Industry,18.78
Manufacturing Industry,23.41
Manufacturing Industry,26.93
Manufacturing Industry,14.73
Manufacturing Industry,23.23
Manufacturing Industry,18.09
Manufacturing Industry,14.82
Manufacturing Industry,14.26
Manufacturing Industry,13.76
Manufacturing Industry,22.53
Manufacturing Industry,14.52
Manufacturing Industry,23.39
Manufacturing Industry,20.64
Manufacturing Industry,25.49
Manufacturing Industry,16.16
Manufacturing Industry,23.89
Manufacturing Industry,15.33
Manufacturing Industry,24.11
Manufacturing Industry,21.64
Manufacturing Industry,21.98
Manufacturing Industry,15.53
Manufacturing Industry,18.45
Manufacturing Industry,24.45
Manufacturing Industry,12.28
Manufacturing Industry,13.84
Manufacturing Industry,0.80
Manufacturing Industry,0.55
Manufacturing Industry,0.94
Manufacturing Industry,0.63
Manufacturing Industry,0.46
Manufacturing Industry,0.87
Manufacturing Industry,0.63
Manufacturing Industry,0.66
Manufacturing Industry,0.85
Manufacturing Industry,0.71
Manufacturing Industry,0.93
Manufacturing Industry,0.55
Manufacturing Industry,1.03
Manufacturing Industry,0.92
Manufacturing Industry,0.80
Manufacturing Industry,0.92
Manufacturing Industry,0.87
Manufacturing Industry,0.72
Manufacturing Industry,0.51
Manufacturing Industry,1.01
Manufacturing Industry,0.88
Manufacturing Industry,0.66
Manufacturing Industry,0.69
Manufacturing Industry,16.87
Manufacturing Industry,11.67
Manufacturing Industry,10.25
Manufacturing Industry,23.56
Manufacturing Industry,15.71
Manufacturing Industry,10.33
Manufacturing Industry,19.44
Manufacturing Industry,19.72
Manufacturing Industry,21.33
Manufacturing Industry,19.77
Manufacturing Industry,21.35
Manufacturing Industry,13.76
Manufacturing Industry,12.46
Manufacturing Industry,12.00
Manufacturing Industry,21.66
Manufacturing Industry,13.76
Manufacturing Industry,6.49
Manufacturing Industry,6.09
Manufacturing Industry,4.33
Manufacturing Industry,8.04
Manufacturing Industry,7.41
Manufacturing Industry,4.34
Manufacturing Industry,5.65
Manufacturing Industry,5.50
Manufacturing Industry,6.07
Manufacturing Industry,7.05
Manufacturing Industry,5.22
Manufacturing Industry,7.47
Manufacturing Industry,1.35
Manufacturing Industry,0.70
Manufacturing Industry,1.37
Manufacturing Industry,0.66
Manufacturing Industry,1.00
Manufacturing Industry,1.51
Manufacturing Industry,0.71
Manufacturing Industry,1.55
Manufacturing Industry,1.43
Manufacturing Industry,0.99
Manufacturing Industry,18.41
Manufacturing Industry,20.10
Manufacturing Industry,16.01
Manufacturing Industry,11.56
Manufacturing Industry,12.43
Manufacturing Industry,8.63
Manufacturing Industry,11.32
Manufacturing Industry,11.20
Manufacturing Industry,10.65
Manufacturing Industry,0.00
Manufacturing Industry,0.00
Manufacturing Industry,0.00
Manufacturing Industry,0.00
Manufacturing Industry,0.00
Manufacturing Industry,0.67
Manufacturing Industry,0.84
Manufacturing Industry,0.70
Manufacturing Industry,0.86
Manufacturing Industry,0.82
Manufacturing Industry,1.41
Manufacturing Industry,1.93
Manufacturing Industry,0.91
Manufacturing Industry,1.03
Manufacturing Industry,1.10
Manufacturing Industry,18.46
Manufacturing Industry,15.24
Manufacturing Industry,18.18
Manufacturing Industry,7.68
Manufacturing Industry,7.30
Manufacturing Industry,14.44
Manufacturing Industry,13.65
Manufacturing Industry,14.65
Manufacturing Industry,2.12
Manufacturing Industry,1.79
Manufacturing Industry,1.15
Manufacturing Industry,2.01
Manufacturing Industry,1.47
Manufacturing Industry,1.08
Manufacturing Industry,1.09
Manufacturing Industry,1.89
Manufacturing Industry,1.39
Manufacturing Industry,1.40
Manufacturing Industry,38.30
